,Comment,Label,Score,Unnamed: 0
0,i'm good with living among a city of ai roots over a city of human beings any day.,2,0.9458538740873336,
1,I like living in a city with roots over a city of human beings.,2,0.9458538740873336,
2,I like living in a city with roots over a city of humans.,2,0.9458538740873336,
3,none of this will be used for the good of humanity. it will only ever be used for the good of a few humans while it makes existence that much more difficult and treacherous for the masses. like all new toys in the hands of the millionaire elite. their granted permission none of us ever would be on promises they never fulfill.,0,0.9033167759577432,
4,None of this will ever be used for the good of humanity.,0,0.9033167759577432,
5,"It won't be used for the good of humanity, it will be used for the benefit of a few humans.",0,0.9033167759577432,
6,"now! we are actively eliminating mankind as we create a face world! now that is intelligent! and.., we can make a whole lot of money as we wash ourselves out! so brilliant!",2,0.9282882213592528,
7,"As we create a face world, we can eliminate mankind and make a lot of money.",2,0.9282882213592528,
8,"As we create a face world, we can eliminate mankind and make a lot of money!",2,0.9282882213592528,
9,"this whole paranoia about it taking over is still ridiculous. completely irrational. it's not self aware and it's not in control of anything. it's currently still way way far away from being like a person. it prefers some cool functions but it's still not age , not even close",0,0.9214607874552408,
10,It's not self aware and it's not in control.,0,0.9214607874552408,
11,It's not self aware and it's not in control of anything.,0,0.9214607874552408,
12,"we can even get climate change under control...humans are literally the direct representation of ""cart before the horse"" and i do not see this ending well for people (and by that i mean, i see ai being abused more than it actually helping people work less and be human)",0,0.943443497021993,
13,"Humans are the direct representation of ""cart before the horse"" and I don't see this ending well for people, I see ai being abused more than it actually helping people work less and be human.",0,0.943443497021993,
14,"Humans are the direct representation of ""cart before the horse"" and I don't see this ending well for people because I see ai being abused more than it actually helping people work less and be human.",0,0.943443497021993,
15,this is bad news. stop development of ai now. i believe the bible speaks on this subject. turn it off now.,0,0.9252697626749674,
16,"This is bad news, turn it off now.",0,0.9252697626749674,
17,The bible says to stop development of ai now.,0,0.9252697626749674,
18,"well ai is sweet and very handy, but like a car in the wrong hands it can be used as weapon. ai is not the dangerous , us humans are.",0,0.9380398243665696,
19,"Like a car in the wrong hands, ai can be used as a weapon.",0,0.9380398243665696,
20,Like a car in the wrong hands ai can be used as a weapon.,0,0.9380398243665696,
21,how will all the different religions be involved or will it? feeding us untrue pictures of a globe ( world /earth) o the first big deception with ai?.,0,0.9443434923887252,
22,The first big deception with ai? will be feeding us untrue pictures of a globe.,0,0.9443434923887252,
23,The first big deception with ai will be feeding us untrue pictures of a globe.,0,0.9443434923887252,
24,"must: ""ai is very dangerous and could be weaponized against humanity."" u.s. government: ""hm. we'll take two.""",0,0.936359186967214,
25,"""ai is very dangerous and could be weaponized against humanity.""",0,0.936359186967214,
26,ai is very dangerous and could be weaponized against humanity,0,0.936359186967214,
27,probably time to keep a closer 'eye' on the development of this technology. specially the likes of mr must if it sounds to good to be true it invariably is. just saying.,2,0.926586369673411,
28,It's time to keep an eye on the development of this technology.,2,0.926586369673411,
29,It is time to keep an eye on the development of this technology.,2,0.926586369673411,
30,"when will the first ai molested emerge? an andros that stalls the streets? (its a joke, mr andros)",0,0.94785937666893,
31,When will the first ai emerge?,0,0.94785937666893,
32,"Mr andros, when will the first ai emerge?",0,0.94785937666893,
33,exciting future ^^,2,0.9211830377578736,
34,The future is exciting.,2,0.9211830377578736,
35,exciting future,2,0.9211830377578736,
36,billions of a millimetre?! what the fuck?! that's god-like impressive!!,2,0.9060035149256388,
37,"That's amazing, billions of a millimetre!",2,0.9060035149256388,
38,"That's impressive, that's billions of a millimetre!",2,0.9060035149256388,
39,"the great danger to my mind is that it will become impossible to exist outside of it. or not permitted to exist outside of it. therefore, when something goes horribly wrong, and it will at some point, there will be no escape, no means of surviving it. this came me in a dream that became a nightmare.",0,0.9038200825452803,
40,It will become impossible to exist outside of it at some point.,0,0.9038200825452803,
41,It will become impossible to exist outside of it if something goes wrong.,0,0.9038200825452803,
42,a baseball team of roots..people will love them and they can live forever.,2,0.9391399025917052,
43,People will love a baseball team of roots and they can live forever.,2,0.9391399025917052,
44,"People will love a baseball team of roots, they can live forever.",2,0.9391399025917052,
45,"may, i wouldn't mind having an ai friend. he'd probably hate humanity as much as i do at times.",0,0.9006986171007156,
46,I wouldn't mind having an ai friend.,0,0.9006986171007156,
47,I would like to have an ai friend.,0,0.9006986171007156,
48,she is not an ai but a good actor,2,0.925441026687622,
49,She is a good actor.,2,0.925441026687622,
50,She is a good actor and not an ai.,2,0.925441026687622,
51,"all was foretold, and much was forewarned...all in saying is, if something really bad comes to pass because of ai...the people that worked on it should be held accountable as ffffffffff!",0,0.9494129568338394,
52,"If something really bad happens because of ai, the people that worked on it should be held accountable.",0,0.9494129568338394,
53,"If something really bad comes to pass because of ai, the people that worked on it should be held accountable.",0,0.9494129568338394,
54,these bloody people don't know how al works these are the people that create the models if something goes wrong in a given ai system there is no way they can identify the code that caused said problems,0,0.9265059977769852,
55,There is no way the people who create the models can identify the code that caused the problems.,0,0.9265059977769852,
56,There is no way the people who create the models can identify the code that caused the problems because they don't know how al works.,0,0.9265059977769852,
57,"screw it, let the ai take over and make humans extinct. not like we've done any better with the planet.",0,0.9407137393951416,
58,Let the ai take over and make humans extinct.,0,0.9407137393951416,
59,Let the ai take over and make people extinct.,0,0.9407137393951416,
60,"unfortunately, ai (ultimately developed by a flowed species) will more than likely, carry over something, somewhere, in it's architecture that will be what leads to our headache. i am all for capitalism however, if anywhere, in the design of ai, the flaw of greed is what is passed on, i think we are in for a very rough ride.",0,0.9463262259960176,
61,"In the design of ai, the flaw of greed will be what leads to our headaches.",0,0.9463262259960176,
62,"In the design of ai, the flaw of greed is what will lead to our headaches.",0,0.9463262259960176,
63,humans on the fast-track to self destruction. not good who.,0,0.9312976400057474,
64,Humans are on the path to self destruction.,0,0.9312976400057474,
65,Humans are on the fast track to self destruction.,0,0.9312976400057474,
66,ll ai will never be a true intelligence nor will it ever come even close to taking over humanity. so sick of hearing this swift stupidity.,0,0.9415161848068238,
