,Comment,Label,Score,Unnamed: 0
0,"honestly just release them, let the ai's take over. the world we live in is screwed up anyway can't see how the ai could make it any worse.",0,0.9662208706140518,
1,Release them and let the ai take over.,0,0.9662208706140518,
2,i love how the brilliant people still think they are in control. find jesus now.,2,0.9532601982355118,
3,The brilliant people think they are in control.,2,0.9532601982355118,
4,"this is bullshit , ai is just a hope that is going nowhere , it`s being used to pump failing stocks like tell and many others",0,0.9676995277404784,
5,This is bullshit and a hope that is going nowhere is being used to pump failing stocks.,0,0.9676995277404784,
6,one ai to another: “mon always liked you best!”,2,0.96892611682415,
7,"One said, ""mon always liked you best!""",2,0.96892611682415,
8,"the more i see like this, the more i'm agreeing with bill burr on the matter: ""plug that thing! take the batteries and the wires out! do something!"" some of this, while really cool, is terrifying.",2,0.9653052488962808,
9,"Some of this, while really cool, is terrifying.",2,0.9653052488962808,
10,you have no fucking clue what you're talking about. it's already been discredited multiple times that the claim was bullshit. but here you are trying to get click. stop with the bullshit,0,0.9720529317855836,
11,You have no idea what you're talking about.,0,0.9720529317855836,
12,"someone will use ai as a means of nasty weapons. mark my word, the day will come when we wished ai was never invented.",0,0.9696194231510162,
13,Someone will use ai as a weapon.,0,0.9696194231510162,
14,just from the thumbnail picture alone i'm disturbed. stop trying to make this thing look like what it is not. it is not a human stop trying to deceive us. when you try and make something look like something that it really is not your deceiving people & mixed with ai it seems demon or is it simply demon no matter what.,0,0.9557092040777206,
15,stop trying to make this thing look like what it is not.,0,0.9557092040777206,
16,the handiest thing ai can be used for is deceiving people and stealing their intellectual property or their trust. it's a giant thief tool. why is this not obvious to everyone?,0,0.965445801615715,
17,The handiest thing ai can be used for is deceiving people and stealing their intellectual property or their trust.,0,0.965445801615715,
18,"anyone claiming ai will only be used for good ""because it would hurt ourselves"" forgets that mankind developed, used, and continues to keep nuclear weapons.",0,0.952830284833908,
19,"The people who claim ai will only be used for good forget that mankind developed, used, and continues to keep nuclear weapons.",0,0.952830284833908,
20,"humans suck, in on your side ai.",0,0.967904195189476,
21,Humans are on your side.,0,0.967904195189476,
22,bullshit avoid dumb and can only work on pattern recognition. it can never be intelligent. its a case of huge repetition. this is fear worn nothing else.,0,0.9638137817382812,
23,bullshit can only work on pattern recognition.,0,0.9638137817382812,
24,"to be fair, we mostly suck at arithmetic too. just set that ai up with a ti-+ and it's good to go.",0,0.9637941916783652,
