index,Label,Score,Comment
0,2,0.9458538740873336,Je suis bon de vivre entre une ville de racines ai et une ville d'êtres humains tous les jours.
1,2,0.9458538740873336,J'aime vivre dans une ville qui a des racines sur une ville d'êtres humains.
2,2,0.9458538740873336,J'aime vivre dans une ville qui a des racines sur une ville d'hommes.
3,0,0.9033167759577432,Aucune de ces choses ne sera utilisée pour le bien de l'humanité. Elle ne sera jamais utilisée pour le bien de quelques êtres humains alors qu'elle rend l'existence beaucoup plus difficile et treacheuse pour les masses. Comme tous les nouveaux jouets dans les mains de l'élite des millionsaires. leur permission accordée n'a jamais permis à aucun d'entre nous d'être sur les promesses qu'ils ne remplissent jamais.
4,0,0.9033167759577432,Rien de cela ne servira jamais au bien de l'humanité.
5,0,0.9033167759577432,"Elle ne sera pas utilisée pour le bien de l'humanité, elle sera utilisée pour le bien de quelques êtres humains."
6,2,0.9282882213592528,"maintenant! nous éliminons activement l'humanité à mesure que nous créerons un monde face! maintenant cela est intelligent! et.., nous pouvons gagner beaucoup d'argent à mesure que nous nous évacuons! si brillant!"
7,2,0.9282882213592528,"En créant un monde face, nous pouvons éliminer l'humanité et gagner beaucoup d'argent."
8,2,0.9282882213592528,"En créant un monde face, nous pouvons éliminer l'humanité et gagner beaucoup d'argent!"
9,0,0.9214607874552408,"Cette paranoie de prendre le contrôle est encore ridicule. totalement irrationnelle. elle n'est pas consciente de soi et elle n'a aucun contrôle. elle est encore très loin d'être comme une personne. elle préfère certaines fonctions cool mais elle n'est pas encore âgée, pas même proche"
10,0,0.9214607874552408,Il n'est pas conscient de soi et il n'est pas sous contrôle.
11,0,0.9214607874552408,Il n'est pas conscient de soi et il n'a aucun contrôle sur quelque chose.
12,0,0.943443497021993,"Nous pouvons même contrôler les changements climatiques... les humains sont littéralement la représentation directe de ""carte avant le cheval"" et je ne vois pas ce qui se termine bien pour les gens (et par cela je veux dire, je vois ai est maltraité plus qu'il aide réellement les gens à travailler moins et à être humains)"
13,0,0.943443497021993,"Les humains sont la représentation directe de la ""carte avant le cheval"" et je ne vois pas ce qui se termine bien pour les gens, je vois ai être maltraité plus qu'il aide réellement les gens à travailler moins et à être humains."
14,0,0.943443497021993,"Les humains sont la représentation directe de la ""carte avant le cheval"" et je ne vois pas ce qui se termine bien pour les gens parce que je vois ai être maltraité plus qu'il aide réellement les gens à travailler moins et à être humains."
15,0,0.9252697626749674,c'est une mauvaise nouvelle. arrêtez maintenant le développement de l'ai. je crois que la bible parle de ce sujet.
16,0,0.9252697626749674,"C'est une mauvaise nouvelle, désactivez-le maintenant."
17,0,0.9252697626749674,La Bible dit d'arrêter le développement d'ai maintenant.
18,0,0.9380398243665696,"bien ai est doux et très pratique, mais comme une voiture dans les mauvaises mains il peut être utilisé comme arme. ai n'est pas dangereux, nous humains sont."
19,0,0.9380398243665696,"Comme une voiture dans les mauvaises mains, ai peut être utilisé comme arme."
20,0,0.9380398243665696,Comme une voiture dans les mauvaises mains ai peut être utilisée comme une arme.
21,0,0.9443434923887252,comment toutes les différentes religions seront impliquées ou le sera-t-il? nous nourrir d'images inexactes d'un globe ( monde / terre) o la première grande tromperie avec ai?.
22,0,0.9443434923887252,La première grande tromperie avec ai? nous nourrira d'images inexactes d'un globe.
23,0,0.9443434923887252,La première grande tromperie avec ai nous nourrira d'images inexactes d'un globe.
24,0,0.936359186967214,"Il faut : ""ai est très dangereux et pourrait être armé contre l'humanité."" Gouvernement américain : ""hm. nous prendrons deux."""
25,0,0.936359186967214,"""ai est très dangereux et pourrait être armé contre l'humanité."""
26,0,0.936359186967214,ai est très dangereux et pourrait être armé contre l'humanité.
27,2,0.926586369673411,probablement le moment de garder un regard plus attentif sur le développement de cette technologie. spécialement les likes de M. doit si cela semble bon pour être vrai c'est invariablement le cas.
28,2,0.926586369673411,Il est temps de suivre l'évolution de cette technologie.
29,2,0.926586369673411,Il est temps de suivre l'évolution de cette technologie.
30,0,0.94785937666893,"quand le premier ai molesté apparaîtra? un andros qui arrête les rues? (il s'agit d'une joke, M. andros)"
31,0,0.94785937666893,Quand apparaîtra le premier ai?
32,0,0.94785937666893,"Monsieur andros, quand apparaîtra le premier ai?"
33,2,0.9211830377578736,Un avenir excitant ^^
34,2,0.9211830377578736,L'avenir est excitant.
35,2,0.9211830377578736,avenir excitant
36,2,0.9060035149256388,Billions d'un millimètre?! ce qu'il y a de mal?! c'est impressionnant!
37,2,0.9060035149256388,"C'est incroyable, des milliards d'un millimètre!"
38,2,0.9060035149256388,"C'est impressionnant, c'est des milliards de millimètres!"
39,0,0.9038200825452803,"le grand danger pour mon esprit est qu'il deviendra impossible d'exister à l'extérieur de celui-ci. ou non permis d'exister à l'extérieur de celui-ci. par conséquent, lorsque quelque chose va horriblement mal, et qu'il arrivera à un certain moment, il n'y aura pas d'évacuation, aucun moyen de survivre. cela m'est venu dans un rêve qui est devenu un cauchemar."
40,0,0.9038200825452803,"À un certain moment, il deviendra impossible d'exister à l'extérieur."
41,0,0.9038200825452803,Il deviendra impossible d'exister à l'extérieur si quelque chose va mal.
42,2,0.9391399025917052,une équipe de baseball de racines.. les gens les aiment et ils peuvent vivre pour toujours.
43,2,0.9391399025917052,Les gens aiment une équipe de baseball à racines et ils peuvent vivre pour toujours.
