,index,Label,Score,Comment
0,0,0,0.8654658993085226,mehr Angst Demokraten Menschen geschaffen ai  
1,1,0,0.8654658993085226,Ich mehr Angst Demokraten Menschen 
2,2,0,0.8654658993085226,Ich mehr Angst Demokraten Menschen 
3,3,0,0.8654658993085226,Ich mehr Angst Demokraten Menschen 
4,4,0,0.8654658993085226,Ich mehr Angst Demokraten menschlichen Schöpfung 
5,5,0,0.8654658993085226,Ich mehr Angst Demokraten Menschen 
6,6,0,0.8990600109100342,kommen nahe Zeit  große Depression begann Jahren  endet war  Ich denke  passieren  Jobs weggenommen
7,7,0,0.8990600109100342,Ich denke  nahe Zeit  große Depression begann  Arbeitsplätzen  weggenommen wurden 
8,8,0,0.8990600109100342,Wir nahe Zeit  große Depression begann  Arbeitsplätzen  weggenommen wurden 
9,9,0,0.8990600109100342,Wir nahe Zeit  große Depression begann  denke  passieren wird  Arbeitsplätze weggenommen werden 
10,10,0,0.8990600109100342,Wir nahe Zeit  große Depression begann  Arbeitsplätze abgeschafft wurden 
11,11,0,0.8990600109100342,Ich denke  nahe Zeit  große Depression begann  Entlassung Arbeitsplätzen 
12,12,2,0.8967933058738708,good stuff! another youtuber named hosanna passing just tried to make a cake using a recipe generate by ai    it turned out horribly  as she fought her urge to change things up that she knew werent going to work properly  realizing that most people wouldnt know it wasnt going to work 
13,13,2,0.8967933058738708,Sie kämpfte Wunsch  Dinge ändern  wusste  richtig funktionieren würden  erkannte  meisten Leute wissen würden  funktionierte 
14,14,2,0.8967933058738708,Sie kämpfte Wunsch  Dinge ändern  wusste  richtig funktionieren würden  erkannte  meisten Leute wissen würden  richtig war 
15,15,2,0.8967933058738708,Sie kämpfte Wunsch  Dinge ändern  wusste  richtig funktionieren würden  erkannte  meisten Leute wissen würden  gute Idee war 
16,16,2,0.8967933058738708,Sie kämpfte Wunsch  Dinge ändern  wusste  gut funktionieren würden  erkannte  meisten Leute wissen würden  funktionierte 
17,17,2,0.8967933058738708,Sie kämpfte Wunsch  Dinge ändern  wusste  richtig funktionieren würden  erkannte  meisten Leute wissen würden  Fall ist 
18,18,0,0.896743893623352,schlimm sein  Ai Jobs ersetzen könnte  Menschen viele Fehler machen? meine  oft Ärzte falsch diagnostiziert?  genaue Maschine haben  diagnostizieren wäre besser?
19,19,0,0.896743893623352,Wäre besser  Maschine hätten  genau diagnostizieren könnte?
20,20,0,0.896743893623352,Wäre besser  Maschine verwenden könnten  diagnostizieren anstelle Menschen?
21,21,0,0.896743893623352,Wäre besser  Maschine besser diagnostizieren Mensch?
22,22,0,0.896743893623352,Wäre besser  Maschine besser diagnostizieren Mensch?
23,23,0,0.896743893623352,Wäre besser  Maschine verwenden könnten  diagnostizieren?
24,24,0,0.8627644578615824,s H makar Cap mot Tasa Hass trotz gear se ku home ja selten ho Herr s solch Band Krieg tat Übung                  
25,25,0,0.8627644578615824,Der Bandkrieg übte Ergebnis h makar Kappe 
26,26,0,0.8627644578615824,Der Bandkrieg übte Ergebnis HKap 
27,27,0,0.8627644578615824,Der Bandkrieg tat Übung wegen h makar Kappe 
28,28,0,0.8627644578615824,Es gab Bandkrieg tat Übung 
29,29,0,0.8627644578615824,Der BandKrieg wegen Kappe ausgeübt 
30,30,0,0.891732931137085,ai Menschen gemacht  Überleben Menschen beeinflussen Mensch ai Zukunft zerstören 
31,31,0,0.891732931137085,Der Mensch Ai Zukunft zerstören  Überleben Menschen beeinflussen kann 
32,32,0,0.891732931137085,Menschen Ai Zukunft zerstören  Überleben Menschen beeinflussen kann 
33,33,0,0.891732931137085,Menschen Ai Zukunft zerstören  Überleben beeinflussen kann 
34,34,0,0.891732931137085,Menschen Ai Zukunft zerstören  Überleben Menschen beeinträchtigt 
35,35,0,0.891732931137085,Menschen Ai Zukunft zerstören  Überleben Menschen beeinflussen kann 
