,index,Label,Score,Comment
0,0,0,0.8654658993085226,miedo demócratas algún humano creado ai  
1,1,0,0.8654658993085226,Me temo demócratas humanos 
2,2,0,0.8654658993085226,Me temo demócratas seres humanos 
3,3,0,0.8654658993085226,Me temo demócratas humanos 
4,4,0,0.8654658993085226,Me temo demócratas creación humana 
5,5,0,0.8654658993085226,Me temo demócratas humanos 
6,6,0,0.8990600109100342,Estamos llegando cerca momento gran depresión comenzó hace años  terminando alrededor EE UU  Creo punto volverse puestos trabajo sacado 
7,7,0,0.8990600109100342,Creo cerca momento comenzó gran depresión  retirada puestos trabajo 
8,8,0,0.8990600109100342,Estamos cerca momento comenzó gran depresión  retirada puestos trabajo 
9,9,0,0.8990600109100342,Estamos cerca momento comenzó gran depresión  creo punto volver suceder puestos trabajo retirado 
10,10,0,0.8990600109100342,Estamos cerca momento comenzó gran depresión  supresión puestos trabajo 
11,11,0,0.8990600109100342,Creo cerca momento comenzó gran depresión  supresión puestos trabajo 
12,12,2,0.8967933058738708,buena cosa! youtuber llamada hosanna passing simplemente intentó hacer torta usando receta generada ai    resultó horrible  mientras luchaba urgencia cambiar cosas sabía iba funcionar correctamente  sabiendo mayoría gente sabía iba funcionar 
13,13,2,0.8967933058738708,Ha luchado urgencia cambiar cosas sabía funcionarían adecuadamente  sabiendo mayoría gente sabía funcionaba 
14,14,2,0.8967933058738708,Ha luchado urgencia cambiar cosas sabía funcionarían adecuadamente  sabiendo mayoría gente sabería correcto 
15,15,2,0.8967933058738708,Ha luchado urgencia cambiar cosas sabía funcionarían adecuadamente  sabiendo mayoría gente sabería buena idea 
16,16,2,0.8967933058738708,Ha luchado urgencia cambiar cosas sabía funcionarían bien  sabiendo mayoría gente sabía funcionaba 
17,17,2,0.8967933058738708,Ha luchado urgencia cambiar cosas sabía funcionarían adecuadamente  sabiendo mayoría gente sabería así 
18,18,0,0.896743893623352,Sería tan malo si Ai pudiera reemplazar puestos trabajo si humanos cometían errores? Me refiero cantidad veces médicos diagnostican mal? Si podemos tener máquina  exacta diagnosticarnos mejor?
19,19,0,0.896743893623352,No mejor si pudiéramos tener máquina diagnosticase precisión?
20,20,0,0.896743893623352,No mejor si pudiéramos usar máquina diagnosticarnos lugar humano?
21,21,0,0.896743893623352,No mejor si máquina pudiera diagnosticar mejor humano?
22,22,0,0.896743893623352,No mejor si máquina pudiera diagnosticar mejor humano?
23,23,0,0.896743893623352,No mejor si pudiéramos usar máquina diagnosticarnos?
24,24,0,0.8627644578615824,WO S h makar cap mot Tasa odio pesar equipos casa ja raro ho sir s tal banda guerra hizo ejercicio nuevo                  
25,25,0,0.8627644578615824,La guerra banda hizo ejercicio nuevo resultado cape h makar 
26,26,0,0.8627644578615824,La guerra bandas hizo ejercicio nuevo resultado cap h 
27,27,0,0.8627644578615824,La guerra banda hizo ejercicio nuevo debido capilla h makar 
28,28,0,0.8627644578615824,Ha guerra bandas hecho ejercicio nuevo 
29,29,0,0.8627644578615824,La guerra bandas hizo ejercicio nuevo debido capilla 
30,30,0,0.891732931137085,Ai hecho seres humanos  si puede afectar supervivencia seres humanos entonces seres humanos pueden destruir Ai futuro 
31,31,0,0.891732931137085,El ser humano puede destruir Ai futuro si puede afectar supervivencia ser humano 
32,32,0,0.891732931137085,Los seres humanos pueden destruir Ai futuro si puede afectar supervivencia seres humanos 
